ID,Domain,Phylum,Class,Order,Family,Genus,Species
269832ef7ddc16f8738b61c63fe56a38,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,
ba611eb2eea5f7789fa96ae8663f0421,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sandaracinaceae,uncultured,
4163432925944637b6fb1dd97391f2a7,Bacteria,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thioglobaceae,SUP05 cluster,uncultured gamma proteobacterium
9831fb285a16c8cefe04b4b487fc864e,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,
dce063070dc497b447cfa97dc52b6984,Archaea,Euryarchaeota,Thermoplasmata,Marine Group II,uncultured marine archaeon DCM3921,uncultured marine archaeon DCM3921,uncultured marine archaeon DCM3921
a41e4c4ea02368fee4f8db837db040ad,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),uncultured bacterium HF0200_39L23,uncultured bacterium HF0200_39L23,uncultured bacterium HF0200_39L23
823d8ca5fdac9450b955622e0c3dfa8d,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,
b6d6c1c23bc54d2f7feb5ca54c868a38,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidetes VC2.1 Bac22,uncultured Bacteroidetes bacterium,uncultured Bacteroidetes bacterium,uncultured Bacteroidetes bacterium
8c85303954bc2d6de038afde0f4607af,Archaea,Euryarchaeota,Thermoplasmata,Marine Group II,,,
5f6c8dd5dd9f11fb420c1be362ebc1bd,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus Nitrosopumilus,
fe5ef4c6487dc281ce40cbbb9964cc2e,Bacteria,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thioglobaceae,SUP05 cluster,
644a05316d61e8309481941898263457,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ia,
b0e47d64c1220badb62bda49065341d2,Bacteria,Marinimicrobia (SAR406 clade),uncultured bacterium HF0500_01L02,uncultured bacterium HF0500_01L02,uncultured bacterium HF0500_01L02,uncultured bacterium HF0500_01L02,uncultured bacterium HF0500_01L02
86935573495680936eacf9c9796d6277,Bacteria,0.854511795,,,,,
a6477665fdabd1419692651868bc883e,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86 clade,,,
c5919cc3cee08004baa68823c44c9970,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured,
2bbeb3c1e09177eb309b7463cc303939,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86 clade,bacterium WHC7-12,bacterium WHC7-12,bacterium WHC7-12
711396cf0fe665d6da267a4dee253b11,Archaea,Euryarchaeota,Thermoplasmata,Marine Group II,,,
8c5a795900cb45aec960015ce5b90bdf,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,,
3b610ee6ba1f80b8a512591ddfb953ef,Bacteria,Atribacteria,JS1,Atribacteria bacterium JGI 0000014-F07,Atribacteria bacterium JGI 0000014-F07,Atribacteria bacterium JGI 0000014-F07,Atribacteria bacterium JGI 0000014-F07
8e2c8d535ca0298aa2c835575cba7a1d,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus Nitrosopumilus,
d540e4509058ac8e51cbd2c89f7ac905,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996 marine group,uncultured marine microorganism
cedfe3fd1d1f0304b2bb94a2f408b2d8,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus Nitrosopumilus,
2e0978fd52b937d94c4f58aa52e1e0c8,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ia,
04996f9f00d149dcc10bbd504e6bda86,Archaea,Euryarchaeota,Thermoplasmata,Marine Group II,uncultured marine euryarchaeote DH148-W1,uncultured marine euryarchaeote DH148-W1,uncultured marine euryarchaeote DH148-W1
7cb3de8024ffd34fa6de89cf9ccf572e,Bacteria,Proteobacteria,Gammaproteobacteria,UBA10353 marine group,unidentified marine bacterioplankton,unidentified marine bacterioplankton,unidentified marine bacterioplankton
baaa3d6fadaf15e2a5c2ac0a70611c52,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86 clade,uncultured bacterium,uncultured bacterium,uncultured bacterium
8a0480aea709fb3ccbe807d849172893,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacula,
1acfe546a168af8feffa67067a71f2e3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
60fd82fe2d204179063de388bc2c0907,Archaea,Euryarchaeota,Thermoplasmata,Marine Group II,uncultured marine bacterium,uncultured marine bacterium,uncultured marine bacterium
9994d24e5764b8d5fd3014416f00a079,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Ectothiorhodospiraceae,uncultured,uncultured marine bacterium
e6164e1ba0a1c1e74f827900ce36839b,Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,uncultured organism
ebd8f1ec81f4b20f805ab618cc115bda,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,
e8009122bbcfacde1cc14c0b7c64dec3,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS2b marine group,
e3fcac70650c5d636b2a263203f36131,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidetes VC2.1 Bac22,uncultured alpha proteobacterium,uncultured alpha proteobacterium,uncultured alpha proteobacterium
bce9f23c2080c21fded6337dcf47e79c,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonaceae,Milano-WF1B-03,uncultured gamma proteobacterium
295cb72cbe82e5ddd7b794f658ef4a61,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,OM60(NOR5) clade,
5f99594697a240f6fe02445c256ba004,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfococcus,
ed180bfc4c0dee8ffb269ceee642d93e,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,uncultured,
d23a3d7209437c9cd6130c6a7d076f37,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86 clade,uncultured gamma proteobacterium HF0070_25G02,uncultured gamma proteobacterium HF0070_25G02,uncultured gamma proteobacterium HF0070_25G02
178a1736d98f75cac2450c2ec7069ae4,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Propionigenium,
b82009e1dcde7b7f1428495159218225,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,,
61341a6162f6313492691467d2ee41a3,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86 clade,,,
cf5850d0858c19a44c1b91e23fbf3f6e,Bacteria,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thiomicrospiraceae,Thiomicrorhabdus,Thiomicrospira chilensis DSM 12352
9ba59226fc13393b823f9a74069f42b8,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,,,
c65145b5e89861c379cd98700b5b1b59,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4 marine group,
001d91ef55c1c82b96ffad3c776cae26,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Gimesiaceae,uncultured,
25d4a00daa9241ecd251f284800d880e,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,,
71f90c9946a635ac72fba0755e225c48,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus Nitrosopumilus,
866e4db1b8b8cae517f8d29e6ed9cd21,Bacteria,0.9605349896,,,,,
ae82b803a175f36e9c12ccd1531a82a4,Bacteria,Cyanobacteria,Oxyphotobacteria,Synechococcales,Cyanobiaceae,Synechococcus CC9902,
40a8a31271c5748a285052f3bdea7070,Archaea,Euryarchaeota,Thermoplasmata,Marine Group II,uncultured bacterium,uncultured bacterium,uncultured bacterium
648b290c98a75cf90e45caa15f5ab67c,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,uncultured hydrocarbon seep bacterium BPC110
b208693d07ad5e9d69c60e4d80809d28,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,
51c88d68aa775831594a6ba97cafc221,Bacteria,Marinimicrobia (SAR406 clade),Marinimicrobia bacterium SCGC AAA160-I06,Marinimicrobia bacterium SCGC AAA160-I06,Marinimicrobia bacterium SCGC AAA160-I06,Marinimicrobia bacterium SCGC AAA160-I06,Marinimicrobia bacterium SCGC AAA160-I06
ca9ab08ead78d7c3253b870539b8ea7f,Bacteria,Proteobacteria,Gammaproteobacteria,BD7-8,,,
6607eb4ecc40ee15584de0d6f69e0964,Archaea,Nanoarchaeaeota,Woesearchaeia,,,,
3e37edf6f651627f00ad366ece264821,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,uncultured marine bacterium,uncultured marine bacterium
3049dbb30bc0069c6945c85a6d4b2d8e,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfarculales,Desulfarculaceae,Desulfatiglans,uncultured Desulfobacteraceae bacterium
06daeb1bed42708aba81e66789d19a12,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4 marine group,
007dd91f339b849df05c2b3fc0410426,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia,
5f842265105ec5c5f84be81da69253d6,Bacteria,Proteobacteria,Gammaproteobacteria,HOC36,marine metagenome,marine metagenome,marine metagenome
8124ac85925cc208e7e84b7b05b5b929,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,
a7aa62cd240a5df24fa22db9f562b38f,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,
3e6f785a1f7cc7fc53bcb3b9b7b56971,Bacteria,Chloroflexi,Dehalococcoidia,SAR202 clade,metagenome,metagenome,metagenome
f2b54df62d9c10e81228a92ba8947512,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus Nitrosopumilus,
a339994e1c04caedcf6d463ddc1022ea,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ia,
c2b9f5a98b7b0858dbe255e7772f072b,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfarculales,Desulfarculaceae,Desulfatiglans,marine metagenome
6fe67555e597eacf92b6743e2faf9c23,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116 clade,,
58599232aca842d8609a92525eebf5f5,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86 clade,marine metagenome,marine metagenome,marine metagenome
c5dfe301af2e56f87e743283506322b1,Bacteria,Proteobacteria,Gammaproteobacteria,BD7-8,,,
e0b95dd11c62a078a1bc8e91bbc5b6e1,Archaea,Asgardaeota,Lokiarchaeia,uncultured marine archaeon,uncultured marine archaeon,uncultured marine archaeon,uncultured marine archaeon
df889fa3be86420c09011bbd2fa8577a,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116 clade,marine metagenome,marine metagenome
cfa8c5997abca6e96606f0bbf173b2a0,Archaea,Asgardaeota,Lokiarchaeia,uncultured archaeon,uncultured archaeon,uncultured archaeon,uncultured archaeon
e4ddcbd0ec705b523a2abd3aee5601e5,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5 marine group,
df731b5dfd743d80fd03fe7d3d415ffd,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86 clade,uncultured gamma proteobacterium HF0770_40P16,uncultured gamma proteobacterium HF0770_40P16,uncultured gamma proteobacterium HF0770_40P16
66928e87abe985def95c908679310978,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,
963997c67923a7170c10e9ad58dfbd4d,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacter,uncultured Desulfobacteraceae bacterium
2082eaa3dbd2a2ef8d30739f580a1708,Bacteria,Proteobacteria,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,,
155ece4011ff388caa77a1a516a5dffa,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidetes BD2-2,,
f257b7ad8210880ad56f61ed44ff5813,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,uncultured,
bf7c48dff1424b84c8aef5e111f84912,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,,
440a793b9e9b16ab65f23c8a83df0247,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
169307109e7eae3202e29e5722f744cc,Bacteria,Atribacteria,JS1,,,,
3d24b1417633cbc738a224e5460b718b,Bacteria,Acetothermia,Acetothermiia,bacterium enrichment culture clone AOM-SR-B11,bacterium enrichment culture clone AOM-SR-B11,bacterium enrichment culture clone AOM-SR-B11,bacterium enrichment culture clone AOM-SR-B11
2e69bcbfdbc12dda683d98c40eb7289a,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,,,
9051b121413107167d7a120b1b9a65a6,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,
d8e752cb310518508e278670ef750ca6,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Sva0081 sediment group,
14e8a7bfb7c4d1ecac09f5eb8efe0cea,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,
6eb246877f360a56cbc463eb9de797a6,Bacteria,Patescibacteria,ABY1,Candidatus Uhrbacteria,,,
c3663324f361e37aa46954bb10fca53d,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,uncultured marine bacterium
a6e287e1e3ca265542c4178720f49a19,Bacteria,Marinimicrobia (SAR406 clade),uncultured gamma proteobacterium,uncultured gamma proteobacterium,uncultured gamma proteobacterium,uncultured gamma proteobacterium,uncultured gamma proteobacterium
c24c93ee96f90dfe67efacfa8d4ef83b,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta 2,
2857e426ee3bddb4957a8eef8e6e5080,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus Nitrosopumilus,
8ce3bf666d51387aba90923da26d44ef,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfarculales,Desulfarculaceae,Desulfatiglans,
682c0fff39b6dd2f12d5873f2e28c643,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,Marinoscillum,marine metagenome
7b8e8664a01732982f6f5a4d4d9c9ddb,Bacteria,Marinimicrobia (SAR406 clade),Marinimicrobia bacterium SCGC AAA160-I06,Marinimicrobia bacterium SCGC AAA160-I06,Marinimicrobia bacterium SCGC AAA160-I06,Marinimicrobia bacterium SCGC AAA160-I06,Marinimicrobia bacterium SCGC AAA160-I06
5430577041451c56c57bdcbf6e25cf0d,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996 marine group,uncultured Verrucomicrobiales bacterium HF0070_30L02
e481b9229028da53bcb151b45bfff84b,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116 clade,,
40b85c380ddd79ef14762634df7bea0e,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidetes VC2.1 Bac22,uncultured Bacteroidetes bacterium,uncultured Bacteroidetes bacterium,uncultured Bacteroidetes bacterium
ea14a3b3ce3a1a494514e271bb1600b3,Archaea,Euryarchaeota,Thermoplasmata,Marine Group II,,,
c6907a757df6c8c60b67941abeeb4088,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996 marine group,
9691c18443b28736d8f3260897901682,Archaea,Nanoarchaeaeota,Woesearchaeia,marine metagenome,marine metagenome,marine metagenome,marine metagenome
fd16edb66d5599c0b2bff6c67ab8b68d,Bacteria,Proteobacteria,Gammaproteobacteria,UBA10353 marine group,,,
fd1deefd5b7ab0790cef9357e2404a86,Bacteria,0.8637490666,,,,,
813a72c8e98ecb208504ccad367c076e,Bacteria,Proteobacteria,Gammaproteobacteria,Thiohalorhabdales,Thiohalorhabdaceae,uncultured,uncultured gamma proteobacterium
99e3158e321e236bb16b134902475032,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospiraceae,uncultured,uncultured alpha proteobacterium
e88e6d715533d11611678927d9f3b273,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,,,
1daa67ddec823ecf0f3549712a4e3ce0,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,MSBL7,uncultured Desulfobacterales bacterium
53feb2776a7dacec142a4d29cd530304,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,OM60(NOR5) clade,
000a3525effe53fac084aa7b3b858518,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,,,
3679c768eb57ae3c0487d754b275703d,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,OCS116 clade,,
14beab9b77697fefa979ee182fe120ee,Bacteria,Proteobacteria,Gammaproteobacteria,OM182 clade,uncultured bacterium,uncultured bacterium,uncultured bacterium
cbcb5ce5a00c0b49afe40b43db9e8be2,Archaea,Asgardaeota,,,,,
50879bc3c12a6da2600cb1bf073b6ff6,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,uncultured,
b7dc4e8f4e2cf00030a695797ed84c93,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Aureococcus anophagefferens,Aureococcus anophagefferens,Aureococcus anophagefferens
6ebdeaf53f32d63320237e5ccfbd6814,Archaea,Euryarchaeota,Thermoplasmata,Marine Group II,,,
4ecfc96f48ce437c3f5c9c912a68ccb2,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfosarcina,
a95b839fa03836e7a6eaf46ec846d314,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,,
37eaf3e1d105e4bc82315b5e2f01bcce,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae,Acidaminococcus,
a173e7257954d3e1c4ac02b0d2886f8f,Bacteria,Cloacimonetes,Cloacimonadia,Cloacimonadales,MSBL8,uncultured bacterium,uncultured bacterium
5ac97167fea041ae4c06006a30859a5d,Archaea,Euryarchaeota,Thermoplasmata,Marine Group II,,,
0fdf71793d859811e62dd1ca02232337,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospiraceae,uncultured,
04d56ca7b3e4d3893acc4cc846b6ce3d,Archaea,Crenarchaeota,Bathyarchaeia,uncultured crenarchaeote,uncultured crenarchaeote,uncultured crenarchaeote,uncultured crenarchaeote
28b8169a7cb7418d7c85079641b14096,Bacteria,Verrucomicrobia,Verrucomicrobiae,Arctic97B-4 marine group,marine metagenome,marine metagenome,marine metagenome
84237daea173a495098f95ec475ed16e,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfarculales,Desulfarculaceae,Desulfatiglans,uncultured bacterium
46e71fe4ce9f581eaa0d22823c1d13b2,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Cryomorphaceae,uncultured,
46c7802f60b7ace0ad1f30660aed8f0a,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,uncultured,
0fc0da3e9f3bac5787239923f1950e15,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,MWH-UniP1 aquatic group,
adbe2ccc6e7fca89af506eba39ca8c1f,Bacteria,Atribacteria,JS1,,,,
8042044ce6123477c60be24118d07e65,Bacteria,Atribacteria,JS1,,,,
9fc26bdc339dc9a6e3192c80b43fc066,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Gimesiaceae,uncultured,uncultured bacterium
1037f4c5a140b71ae60c694c78e7f306,Bacteria,Atribacteria,JS1,Atribacteria bacterium JGI 0000014-F07,Atribacteria bacterium JGI 0000014-F07,Atribacteria bacterium JGI 0000014-F07,Atribacteria bacterium JGI 0000014-F07
40a62ed472517998415ed28f18b75d90,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,,
b3bd744282ec4d99f9499b2c1d3b1449,Archaea,Euryarchaeota,Thermoplasmata,Marine Group II,,,
85de907c46a85b18f9349fe4ec047395,Archaea,Euryarchaeota,Thermoplasmata,Marine Benthic Group D and DHVEG-1,,,
c0f09ec7ab10159ec49c65c651e7112c,Bacteria,Planctomycetes,Pla3 lineage,uncultured Planctomycetaceae bacterium,uncultured Planctomycetaceae bacterium,uncultured Planctomycetaceae bacterium,uncultured Planctomycetaceae bacterium
6d0e0155e23e95d30c69860d10f14a2c,Bacteria,Nitrospinae,Nitrospinia,Nitrospinales,Nitrospinaceae,LS-NOB,uncultured proteobacterium
703e4770f7ad504ec566697bf2097b43,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiliaceae,uncultured,uncultured Bacteroidetes bacterium
8c0c4366131be716d27727c9f95c99f6,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,
28861690a81d999be9eaeed7ac234637,Bacteria,Marinimicrobia (SAR406 clade),unidentified marine bacterioplankton,unidentified marine bacterioplankton,unidentified marine bacterioplankton,unidentified marine bacterioplankton,unidentified marine bacterioplankton
54d6aaf75575bd7ba3c158b1b7c1730e,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade IV,,
c126938f31f2e60088528eb786815ce0,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Rubripirellula,
d2c5f5da5d9f14acc5b49df2dd3ec84d,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,
6c7e1c708be77054918d97907c32dd5e,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonaceae,Marine Methylotrophic Group 2,
839733864afcf0d62a0a209dc4cd650e,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Puniceicoccaceae,MB11C04 marine group,
94b2c236c5049f91aa589d010ec67d63,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,,
dbc8fc1d436b7c79771a65b7249f281c,Bacteria,Marinimicrobia (SAR406 clade),uncultured gamma proteobacterium,uncultured gamma proteobacterium,uncultured gamma proteobacterium,uncultured gamma proteobacterium,uncultured gamma proteobacterium
efb4f5279bd54b8f19721c028295a476,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Zeaxanthinibacter,uncultured bacterium
5607453bc62adfe6cf5f6f5e351f5a8e,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured Cryptomonadaceae,uncultured Cryptomonadaceae,uncultured Cryptomonadaceae
940f2af34d66d57457e61a863a299834,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae,SAR92 clade,
6183256bf1d9ebf931998193df58533a,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera,
7269102213ec1286d1f0c00ce7f89502,Bacteria,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup 23,
a1fd75fa09095ed3392286f3f88d3f67,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Pseudohongiellaceae,Pseudohongiella,marine metagenome
79ab68ef2583c977f05e84502a5670e7,Bacteria,Latescibacteria,Latescibacteria,Latescibacterales,Latescibacteraceae,uncultured actinobacterium,uncultured actinobacterium
2a13af84a985aefb6f42072d2f119a73,Archaea,Euryarchaeota,Thermoplasmata,Marine Group II,,,
ba098a77d0d275b18ee5d19651dca264,Bacteria,Acidobacteria,Subgroup 21,uncultured organism,uncultured organism,uncultured organism,uncultured organism
b2296358979ffead036d3aa0365f2aef,Archaea,Nanoarchaeaeota,Woesearchaeia,uncultured crenarchaeote,uncultured crenarchaeote,uncultured crenarchaeote,uncultured crenarchaeote
3918778d6c47a89594da334774ed6975,Bacteria,Latescibacteria,uncultured Bacteroidetes bacterium,uncultured Bacteroidetes bacterium,uncultured Bacteroidetes bacterium,uncultured Bacteroidetes bacterium,uncultured Bacteroidetes bacterium
361edb871edf431449584a2ee65caca3,Archaea,Euryarchaeota,Thermoplasmata,Marine Group II,uncultured marine group II/III euryarchaeote KM3_53_G07,uncultured marine group II/III euryarchaeote KM3_53_G07,uncultured marine group II/III euryarchaeote KM3_53_G07
